ĀQ	阿Q
ǎinǎi	欸乃
Àihuī	瑷珲
àntóu	案头
báibái	拜拜
bèngda	蹦跶
bōrě	般若
chájī	茶几
chànchanwēiwēi	颤颤巍巍
chànchanyōuyōu	颤颤悠悠
Cháng'é	嫦娥
chāochao	吵吵
cīlā	刺啦
cīlēng	刺棱
cīfàn	粢饭
dǎ hánzhàn	打寒颤
dǎhāng	打夯
dànmù	弹幕
dèse	嘚瑟
dīgē	的哥
dījiě	的姐
é'ér	俄而
é'ěr	俄尔
étóu	额头
è'ěrnínuò	厄尔尼诺
è'è	谔谔
èr'èyīng	二𫫇英
ēnduàn-yìjué	恩断义绝
ēngé'ěr	恩格尔
érxífu	儿媳妇
ěr'ěr	尔耳
ěrfeng	耳风
ěrxing	耳性
èrhu	二乎
èrhu	二忽
fàláng	发廊
fànbài	梵呗
fāng'àn	方案
fúcí	凫茈
fùshi	富实
fùtai	富态
gālí	咖喱
Gā'nà	戛纳
gǎzi	嘎子
gānshui	泔水
gēge	哥哥
gōngchě	工尺
guāwàn	瓜蔓
hái'ér	孩儿
Hánfēizǐ	韩非子
Hànyǔ Pīnyīn Fāng'àn	汉语拼音方案
háma	蛤蟆
háma	虾蟆
hángyō	杭育
hēigulōngdōng	黑咕隆咚
hēixiázi	黑匣子
hōnglōnglōng	轰隆隆
hóngbulēngdēng	红不棱登
hūdì	忽地
hū'ér	忽而
hūshǎn/hūshan	忽闪
hūshan	呼扇
hūyou	忽悠
huābulēngdēng	花不棱登
huàtuó	华佗
huàxiázi	话匣子
huángdēngdēng	黄澄澄
húnchūn	珲春
jiālìlüè	伽利略
jiǎpíngwā	贾平凹
jiànchē	槛车
jiànghu	糨糊
jiáoqing	矫情
jīnr	今儿
juězi	蹶子
lāta	邋遢
lǎnlǎnsǎnsǎn	懒懒散散
lǎozi/lǎozǐ	老子
léngzi	棱子
lícè	蠡测
liàojuězi	尥蹶子
línlí	𬘭𫄥
lìng'ài	令爱
lìng'ài	令嫒
liúshàn	刘禅
liùzhou	碌碡
mèngzǐ	孟子
mián'ǎo	棉袄
míngr	明儿
mòji	磨叽
mòji	磨唧
mómo	嬷嬷
mózheng	魔怔
mòqí	万俟
mùlíng	穆棱
nāmó	南无
pāsi	派司
pí'ǎo	皮袄
pīntou	姘头
pūlēng	扑棱
qiūcí	龟兹
qǔmaicài	苣荬菜
shāgāo	杉篙
shāmù	杉木
shànràng	禅让
shétāi	舌苔
shèjí'érshàng	拾级而上
shòujiàn	兽槛
téngwàn	藤蔓
wǎn'ān	晚安
wàn'ān	万安
wèijiè	慰藉
wénzhōuzhōu	文绉绉
xī'àn	西岸
xiáhuì	黠慧
xiàbulái	下不来
xià'è	下颚
xiōngdì-xìqiáng	兄弟阋墙
xǔchǔ	许褚
yānzhī	阏氏
yāo'ézi	幺蛾子
yāomó	幺麽
"yībō-wèipíng	yībō-yòuqǐ"	一波未平，一波又起
"yī/bù/zuò	èr/bù/xiū"	一不做，二不休
yīchàng-bǎihé	一倡百和
yī/dài/yī/lù	一带一路
"yī ér zài	zài"	一而再，再而三		ér sān
yī'èr	一二
Yīèr-Jiǔ/Yùndòng	一二•九运动
yīpù-shíhán	一曝十寒
"yīrén-dédào	jīquǎn-shēngtiān"	一人得道，鸡犬升天
"yī/shì/yī	èr/shì/èr"	一是一，二是二
yītóu-wùshuǐ	一头雾水
"yīyán-jìchū	sìmǎ-nánzhuī"	一言既出，驷马难追
yīzhī-dúxiù	一枝独秀
yīzǒu-liǎozhī	一走了之
